O*NET-SOC Code	Task	Category	Original Task ID	Original Task	Write-in Total	Date	Source
35-2013.00	Keep records pertaining to menus, finances, and other business-related issues.	New	n/a		7	06/2006	Occupational Expert
35-2021.00	Assemble meal trays with foods that are in accordance with patients' diets.	New	n/a		5	06/2010	Incumbent
35-9011.00	Greet and seat customers.	New	n/a		5	07/2014	Incumbent
35-9031.00	Assist other restaurant workers by serving food and beverages, or by bussing tables.	Revision	18755	Assist with preparing and serving food and beverages.	9	06/2010	Incumbent
37-2021.00	Recommend treatment and prevention for pest problems to clients.	New	n/a		7	12/2005	Incumbent
37-3011.00	Operate vehicles and powered equipment such as mowers, tractors, twin-axle vehicles, snow blowers, chain-saws, electric clippers, sod cutters, and pruning saws.	Revision	9588	Operate vehicles and powered equipment, such as mowers, tractors, twin-axle vehicles, snow blowers, chain saws, electric clippers, sod cutters, and pruning saws.	6	06/2006	Incumbent
37-3012.00	Identify lawn and plant diseases to determine the appropriate course of treatment.	New	n/a		8	12/2006	Incumbent
39-1012.00	Clean and maintain slot machines and surrounding areas, including stocking patron supplies and refreshments.	New	n/a		9	12/2004	Incumbent
39-1012.00	Train, supervise, schedule, and evaluate slot department workers, including change runners and slot technicians.	Revision	4444	Coordinate and oversee the work of slot department workers, including change runners and slot technicians.	10	12/2004	Incumbent
39-2011.00	Teach owners how to train their dogs.	New	n/a		13	07/2014	Incumbent
39-2011.00	Teach people with visual impairments to use guide dogs.	New	n/a		22	07/2014	Incumbent
39-2021.00	Advise pet owners on how to care for their pets' health.	New	n/a		7	07/2011	Incumbent
39-3011.00	Greet customers and make them feel welcome.	New	n/a		21	07/2011	Incumbent
39-3012.00	Provide race or game information to patrons.	New	n/a		7	07/2014	Incumbent
39-3012.00	Serve drinks to patrons.	New	n/a		7	07/2014	Incumbent
39-3021.00	Clean the projection booth.	New	n/a		9	12/2005	Incumbent
39-3021.00	Perform regular maintenance tasks such as rotating or replacing xenon bulbs, cleaning projectors and lenses, lubricating machinery, and keeping electrical contacts clean and tight.	Revision	8036	Perform regular maintenance tasks such as rotating or replacing xenon bulbs, cleaning lenses, lubricating machinery, and keeping electrical contacts clean and tight.	10	12/2005	Incumbent
39-3031.00	Assist patrons by giving directions to points in and outside of the facility and providing information about local attractions.	Revision	5101	Direct patrons to restrooms, concession stands and telephones.	9	07/2005	Incumbent
39-3031.00	Clean facilities.	New	n/a		14	07/2005	Incumbent
39-3031.00	Lead tours and answer visitors' questions about the exhibits.	New	n/a		14	07/2005	Incumbent
39-3031.00	Schedule and manage staff such as volunteer usher corps.	Revision	5110	Schedule and manage volunteer usher corps.	5	07/2005	Incumbent
39-3031.00	Sell and collect admission tickets, passes, and facility memberships from patrons at entertainment events.	Revision	5095	Sell and collect admission tickets and passes from patrons at entertainment events.	7	07/2005	Incumbent
39-3093.00	Maintain or repair athletic equipment.	New	n/a		5	07/2011	Incumbent
39-4011.00	Clean and disinfect areas in which bodies are prepared and embalmed.	New	n/a		10	07/2012	Incumbent
39-4031.00	Remove deceased remains from place of death.	New	n/a		6	06/2008	Incumbent
39-5012.00	Order, display, and maintain supplies.	New	n/a		6	03/2003	Incumbent
39-5093.00	Assist hair stylists with chemical services, such as neutralizing perms and applying hair color.	New	n/a		7	06/2008	Incumbent
39-5093.00	Launder and fold the towels that are used for drying customers' hair.	New	n/a		11	06/2008	Incumbent
39-5093.00	Refill and stock work stations with supplies, such as shampoos and conditioners.	New	n/a		7	06/2008	Incumbent
39-5093.00	Rinse out hair color or permanent solutions from customers' hair.	New	n/a		10	06/2008	Incumbent
39-5093.00	Sweep hair from the salon floor.	New	n/a		7	06/2008	Incumbent
39-6012.00	Order flowers for guests.	New	n/a		4	07/2012	Occupational Expert
39-9011.01	Shop for groceries, clothing, and other items needed for children's care.	New	n/a		8	07/2004	Occupational Expert
39-9021.00	Administer bedside or personal care, such as assistance with ambulation, dressing, feeding, or personal hygiene.	Revision	2370	Administer bedside or personal care, such as ambulation or personal hygiene assistance.	18	07/2014	Incumbent
39-9032.00	Assess the needs and interests of individuals and groups and plan activities accordingly, given the available equipment or facilities.	Revision	2384	Ascertain and interpret group interests, evaluate equipment and facilities, and adapt activities to meet participant needs.	5	06/2009	Incumbent
39-9032.00	Develop treatment goals for individuals based on their assessments.	New	n/a		6	06/2009	Incumbent
39-9032.00	Document individuals' progress toward meeting their treatment goals.	New	n/a		7	06/2009	Incumbent
41-2011.00	Answer incoming phone calls.	New	n/a		7	06/2010	Incumbent
41-2011.00	Help customers find the location of products.	New	n/a		6	06/2010	Incumbent
41-2011.00	Stock shelves, sort and re-shelve returned items, and mark prices on items and shelves.	Revision	2420	Stock shelves, and mark prices on shelves and items.	10	06/2010	Incumbent
41-2012.00	Check identifications to verify age of players.	New	n/a		6	07/2011	Incumbent
41-2012.00	Clean casino areas.	New	n/a		10	07/2011	Incumbent
41-2012.00	Exchange money, credit, tickets, or casino chips and make change for customers.	Revision	7000	Exchange money, credit, and casino chips, and make change for customers.	7	07/2011	Incumbent
41-2022.00	Assist customers, such as responding to customer complaints and updating them about back ordered parts.	New	n/a		8	07/2004	Incumbent
41-2022.00	Fill customer orders from stock and place orders when requested items are out of stock.	Revision	2428	Fill customer orders from stock.	9	07/2004	Incumbent
41-2022.00	Locate and label parts and maintain inventory of stock.	Revision	2431	Take inventory of stock.	7	07/2004	Incumbent
41-2022.00	Maintain and clean work and inventory areas.	New	n/a		5	07/2004	Incumbent
41-2022.00	Research shipping methods and costs, track packages, and pick up and deliver parts.	New	n/a		8	07/2004	Incumbent
41-3041.00	Record and maintain information on clients, vendors, and travel packages.	New	n/a		5	03/2003	Incumbent
41-9012.00	Pose for artists and photographers either with or without clothes.	Revision	13214	Pose for artists and photographers.	5	06/2007	Incumbent
41-9022.00	Contact previous clients for prospecting of referral business.	New	n/a		6	06/2009	Occupational Expert
43-3021.01	Return checks to customers or retrieve checks returned to customers in error, adjusting accounts and answering inquiries about errors as necessary.	Revision	8141	Retrieve checks returned to customers in error, adjusting customer accounts and answering inquiries about errors as necessary.	9	07/2014	Incumbent
43-3021.02	Perform general administrative tasks, such as answering telephones, scheduling appointments, or ordering supplies or equipment.	New	n/a		5	07/2014	Incumbent
43-3051.00	Balance cash and payroll accounts.	New	n/a		5	06/2009	Incumbent
43-3051.00	Train employees on organizations' timekeeping systems.	New	n/a		6	06/2009	Incumbent
43-3061.00	Approve and pay bills.	Revision	2543	Approve bills for payment.	5	07/2004	Incumbent
43-3061.00	Train and supervise subordinates and other staff.	New	n/a		11	07/2004	Incumbent
43-3071.00	Answer telephones and assist customers with their questions.	New	n/a		6	06/2009	Incumbent
43-4041.01	Call customers to collect payment on delinquent accounts.	New	n/a		8	12/2005	Incumbent
43-4041.02	Call customers to collect past due payments.	New	n/a		6	12/2005	Incumbent
43-4111.00	Recruit participants for focus groups.	New	n/a		5	07/2013	Incumbent
43-4121.00	Plan or participate in library events and programs, such as story time with children.	New	n/a		8	06/2010	Incumbent
43-4161.00	Prepare and set-up for new employee orientations.	New	n/a		6	06/2009	Incumbent
43-4171.00	Enter and update databases of contact information, such as names, addresses, and phone numbers.	New	n/a		7	07/2014	Incumbent
43-5021.00	Deliver and pick up medical records, lab specimens, and medications to and from hospitals and other medical facilities.	New	n/a		8	07/2005	Incumbent
43-5041.00	Perform preventative maintenance or minor repairs on meters.	New	n/a		9	12/2006	Incumbent
43-5051.00	Order retail items and other supplies for office use.	New	n/a		6	12/2006	Incumbent
43-5052.00	Scan labels on letters or parcels to confirm receipt.	New	n/a		11	12/2006	Incumbent
43-5081.02	Arrange merchandise on sales floor for sale.	New	n/a		12	06/2006	Incumbent
43-6012.00	Make travel arrangements for attorneys.	New	n/a		7	06/2010	Incumbent
43-6012.00	Prepare, proofread, or process legal documents, such as summonses, subpoenas, complaints, appeals, motions, or pretrial agreements.	Revision	763	Prepare and process legal documents and papers, such as summonses, subpoenas, complaints, appeals, motions, and pretrial agreements.	6	06/2010	Incumbent
43-9022.00	Manage schedules and set dates, times, and locations for meetings and appointments.	New	n/a		5	03/2003	Incumbent
43-9041.01	Enter information related to claims into database systems.	New	n/a		6	06/2006	Incumbent
43-9081.00	Archive documents, conduct research, and read copy using the internet and various computer programs.	New	n/a		12	07/2005	Incumbent
43-9081.00	Consult with authors and editors regarding manuscript changes and suggestions.	New	n/a		11	07/2005	Incumbent
43-9081.00	Typeset and measure dimensions, spacing, and positioning of page elements (copy and illustrations) to verify conformance to specifications, using printer's ruler or layout software.	Revision	5164	Measure dimensions, spacing, and positioning of page elements (copy and illustrations) in order to verify conformance to specifications, using printer's ruler.	13	07/2005	Incumbent
43-9081.00	Write original content such as headlines, cutlines, captions, and cover copy.	New	n/a		23	07/2005	Incumbent
45-2021.00	Bathe and groom animals.	New	n/a		7	12/2005	Incumbent
45-2021.00	Exercise animals to keep them in healthy condition.	New	n/a		8	12/2005	Incumbent
45-2021.00	Purchase and stock supplies of feed and medicines.	New	n/a		5	12/2005	Incumbent
45-3021.00	Obtain permission from landowners to hunt or trap on their land.	New	n/a		7	06/2007	Occupational Expert
45-4011.00	Create field maps using geographic information systems technology.	New	n/a		10	07/2014	Incumbent
45-4023.00	Arrange for hauling of logs to appropriate mill sites.	New	n/a		5	06/2006	Incumbent
47-2041.00	Cut and install vinyl composition tile or vinyl base.	New	n/a		13	07/2011	Incumbent
47-2043.00	Buff and vacuum floors to ensure their cleanliness prior to the application of finish.	New	n/a		7	06/2008	Incumbent
47-2082.00	Work on high ceilings using scaffolding and other tools, such as stilts.	New	n/a		5	06/2007	Incumbent
47-2141.00	Clean tools and equipment, such as brushes and rollers.	New	n/a		7	07/2014	Incumbent
47-2141.00	Hang wallpaper.	New	n/a		7	07/2014	Incumbent
47-2152.01	Repair hydraulic or air pumps.	New	n/a		5	07/2014	Incumbent
47-2152.01	Repair or remove and replace system components.	Revision	4827	Remove and replace worn components.	8	07/2014	Incumbent
47-2161.00	Clean job sites.	New	n/a		5	06/2006	Incumbent
47-2161.00	Cover surfaces such as windows, doors, and sidewalks to protect from being splashed.	New	n/a		6	06/2006	Incumbent
47-2161.00	Determine materials needed to complete the job and place orders accordingly.	New	n/a		9	06/2006	Incumbent
47-2161.00	Set up scaffolds.	New	n/a		5	06/2006	Incumbent
47-2181.00	Inspect roofs for problems, such as leaks, to determine the best procedure for repairing them.	Revision	13574	Inspect problem roofs to determine the best repair procedures.	5	06/2007	Incumbent
47-3012.00	Cut or weld metal.	New	n/a		5	07/2013	Incumbent
47-3013.00	Operate heavy equipment, such as backhoes.	New	n/a		7	07/2011	Incumbent
47-4061.00	Weld sections of track together such as switch points and frogs.	New	n/a		7	06/2007	Incumbent
47-4099.03	Determine amount of air leakage in buildings using a blower door machine.	New	n/a		6	07/2012	Occupational Expert
47-4099.03	Test combustible appliances, such as gas appliances.	New	n/a		4	07/2012	Occupational Expert
47-5013.00	Maintain and perform safety inspections on rigs, equipment, and other tools.	Revision	20451	Maintain and perform safety inspections on equipment and tools.	7	07/2013	Incumbent
47-5021.00	Create and lay out designs for drill and blast patterns.	New	n/a		6	06/2007	Incumbent
47-5041.00	Check the stability of roof and rib support systems before mining face areas.	New	n/a		6	06/2008	Incumbent
47-5041.00	Conduct methane gas checks to ensure breathing quality of air.	New	n/a		15	06/2008	Incumbent
47-5041.00	Hang ventilation tubing and ventilation curtains to ensure that the mining face area is kept properly ventilated.	New	n/a		9	06/2008	Incumbent
47-5042.00	Monitor methane gas levels in mines to avoid carbon monoxide poisoning.	New	n/a		12	07/2005	Incumbent
47-5061.00	Drill test holes and bolts for specified tension, using torque wrenches.	Revision	4892	Test bolts for specified tension, using torque wrenches.	9	12/2004	Incumbent
47-5061.00	Dust rocks after bolting.	New	n/a		8	12/2004	Incumbent
47-5061.00	Install various types of bolts including truss, glue, and resin bolts, traversing entire ceiling spans.	Revision	4896	Install truss bolts traversing entire ceiling spans.	9	12/2004	Incumbent
47-5061.00	Perform safety checks on equipment before operating.	New	n/a		6	12/2004	Incumbent
47-5061.00	Perform tests to determine whether methane gas is present.	New	n/a		26	12/2004	Incumbent
47-5061.00	Perform ventilation tasks such as hanging ventilation curtains and tubes.	New	n/a		21	12/2004	Incumbent
47-5061.00	Pull down loose rock that cannot be supported.	New	n/a		6	12/2004	Incumbent
47-5071.00	Clean trucks used in the fields.	New	n/a		5	07/2011	Incumbent
47-5071.00	Lay gas and oil pipelines.	New	n/a		5	07/2011	Incumbent
49-3023.02	Perform motor oil changes.	New	n/a		8	07/2014	Incumbent
49-3023.02	Repair or rebuild transmissions.	New	n/a		10	07/2014	Incumbent
49-3031.00	Dismount, mount, and repair or replace tires.	New	n/a		6	07/2013	Incumbent
49-3051.00	Perform routine engine maintenance on motorboats, such as changing oil and filters.	New	n/a		7	06/2007	Incumbent
49-3052.00	Install motorcycle accessories.	New	n/a		6	07/2014	Incumbent
49-3091.00	Build wheels by cutting and threading new spokes.	New	n/a		7	07/2005	Incumbent
49-3091.00	Clean and lubricate bicycle parts.	New	n/a		12	07/2005	Incumbent
49-3091.00	Help customers select bicycles that fit their body size and intended use of the bicycle.	New	n/a		7	07/2005	Incumbent
49-3091.00	Install and adjust brakes and brake pads.	New	n/a		8	07/2005	Incumbent
49-3091.00	Install new tires and tubes.	New	n/a		11	07/2005	Incumbent
49-3091.00	Order bicycle parts.	New	n/a		8	07/2005	Incumbent
49-3091.00	Sell bicycles and accessories.	New	n/a		10	07/2005	Incumbent
49-3092.00	Diagnose and repair furnace or air conditioning systems.	New	n/a		5	06/2006	Occupational Expert
49-3092.00	Explain proper operation of vehicle systems to customers.	New	n/a		6	06/2006	Occupational Expert
49-3092.00	Inspect, repair, or replace brake systems.	New	n/a		6	06/2006	Occupational Expert
49-9012.00	Calibrate instrumentation such as meters, gauges, and regulators for pressure, temperature, flow, and level.	New	n/a		10	12/2006	Incumbent
49-9041.00	Assign work schedules to work crews.	New	n/a		8	07/2013	Incumbent
49-9044.00	Align machines or equipment, using hoists, jacks, hand tools, squares, rules, micrometers, lasers, or plumb bobs.	Revision	3042	Align machines and equipment, using hoists, jacks, hand tools, squares, rules, micrometers, and plumb bobs.	5	06/2010	Occupational Expert
49-9045.00	Reline furnaces using ramming material.	New	n/a		8	06/2007	Incumbent
49-9062.00	Inspect, test, or troubleshoot malfunctioning medical or related equipment, following manufacturers' specifications and using test and analysis instruments.	Revision	3061	Inspect and test malfunctioning medical or related equipment, following manufacturers' specifications and using test and analysis instruments.	9	07/2013	Incumbent
49-9062.00	Install medical equipment.	New	n/a		6	07/2013	Incumbent
49-9064.00	Order supplies, including replacement parts, for timing instruments.	New	n/a		5	06/2008	Incumbent
49-9092.00	Inspect the condition of underwater steel and wood structures.	New	n/a		5	06/2007	Incumbent
49-9096.00	Load machines onto trucks to prepare for transportation.	New	n/a		6	06/2007	Incumbent
49-9097.00	Test and repair track circuits.	New	n/a		5	06/2007	Incumbent
51-1011.00	Evaluate employee performance.	New	n/a		12	07/2011	Incumbent
51-3011.00	Check products for quality and identify damaged or expired goods.	New	n/a		5	12/2006	Incumbent
51-4012.00	Perform preventative maintenance or minor repairs on machines.	New	n/a		5	12/2006	Incumbent
51-4031.00	Clean work area.	New	n/a		6	06/2006	Incumbent
51-4031.00	Operate forklifts to deliver materials.	New	n/a		5	06/2006	Incumbent
51-4034.00	Refill, change, and monitor the level of fluids, such as oil and coolant, in machines.	New	n/a		10	12/2006	Incumbent
51-4061.00	Program computer numerical control (CNC) machines to fabricate model parts.	New	n/a		9	12/2006	Incumbent
51-4061.00	Use computer aided design (CAD) and computer aided manufacture (CAM) software or hardware to fabricate model parts.	New	n/a		8	12/2006	Incumbent
51-4062.00	Create computer models of patterns or parts using modeling software.	New	n/a		5	12/2006	Incumbent
51-4081.00	Write programs for computer numerical control (CNC) machines to cut metal and plastic materials.	New	n/a		7	07/2013	Incumbent
51-4111.00	Fit and assemble parts to make, repair, or modify dies, jigs, gauges, and tools, using machine tools, hand tools, or welders.	Revision	8494	Fit and assemble parts to make, repair, or modify dies, jigs, gauges, and tools, using machine tools and hand tools.	7	07/2012	Incumbent
51-5111.00	Generate prepress proofs in digital or other format in order to approximate what the final printed piece will look like.	New	n/a		8	06/2006	Incumbent
51-5111.00	Perform "preflight" check of required font, graphic, text and image files to ensure completeness prior to delivery to printer.	New	n/a		6	06/2006	Incumbent
51-5111.00	Proofread and perform quality control of text and images.	New	n/a		8	06/2006	Incumbent
51-6021.00	Identify and treat spots on garments.	New	n/a		7	06/2007	Incumbent
51-6042.00	Inspect finished products to ensure that shoes have been completed according to specifications.	New	n/a		6	06/2007	Incumbent
51-6051.00	Fit garments on clients, altering as needed.	New	n/a		8	06/2007	Occupational Expert
51-6061.00	Weigh ingredients, such as dye, to be mixed together for use in textile processing.	Revision	14135	Weigh ingredients to be mixed together for use in textile processing.	5	06/2007	Incumbent
51-6062.00	Inspect products to ensure that the quality standards and specifications are met.	Revision	14151	Inspect products to ensure that specifications are met and to determine whether machines require adjustment.	6	06/2007	Incumbent
51-6092.00	Create design specifications to provide instructions on how each garment should be sewn and assembled.	New	n/a		5	12/2006	Incumbent
51-6092.00	Input specifications into computers to assist with pattern design and pattern cutting.	New	n/a		11	12/2006	Incumbent
51-6092.00	Make adjustments to patterns following fittings.	New	n/a		5	12/2006	Incumbent
51-7042.00	Grease or oil woodworking machines.	New	n/a		5	12/2006	Incumbent
51-8099.03	Operate heavy equipment, such as bulldozers and front-end loaders.	New	n/a		5	07/2012	Incumbent
51-8099.03	Perform tests of water chemistry in boilers.	New	n/a		6	07/2012	Incumbent
51-9023.00	Clean work areas.	New	n/a		9	07/2014	Incumbent
51-9194.00	Use computer software to design patterns for engraving.	New	n/a		5	06/2007	Incumbent
51-9195.05	Attach handles to pottery pieces.	New	n/a		6	06/2008	Incumbent
51-9195.05	Design spaces to display pottery for sale.	New	n/a		5	06/2008	Incumbent
51-9195.05	Load glazed pieces into kilns for firing and unload finished pieces.	Revision	15116	Mix and apply glazes, and load glazed pieces into kilns for firing.	10	06/2008	Incumbent
51-9195.05	Mix and apply glazes to pottery pieces using tools such as spray guns.	Revision	15116	Mix and apply glazes, and load glazed pieces into kilns for firing.	10	06/2008	Incumbent
51-9195.05	Operate gas or electric kilns to fire pottery pieces.	New	n/a		9	06/2008	Incumbent
51-9195.05	Pack and ship pottery to stores or galleries for retail.	New	n/a		11	06/2008	Incumbent
51-9197.00	Buff tires according to specifications for width and undertread depth.	New	n/a		6	06/2007	Incumbent
53-1011.00	Train new employees in areas such as safety procedures and equipment operation.	New	n/a		6	06/2007	Incumbent
53-1021.00	Maintain a safe working environment by monitoring safety procedures and equipment.	New	n/a		10	12/2005	Incumbent
53-2021.00	Monitor, direct, or sequence the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.	Revision	12729	Monitor or direct the movement of aircraft within an assigned air space or on the ground at airports to minimize delays and maximize safety.	5	07/2014	Incumbent
53-2022.00	Conduct inspections of the airport property and perimeter to maintain controlled access to airfields.	New	n/a		7	07/2013	Incumbent
53-2022.00	Initiate or conduct airport-wide coordination of snow removal on runways and taxiways.	New	n/a		6	07/2013	Incumbent
53-2022.00	Inspect airfield conditions to ensure compliance with federal regulatory requirements.	New	n/a		21	07/2013	Incumbent
53-2031.00	Monitor passenger behavior to identify threats to the safety of the crew and other passengers.	New	n/a		13	07/2012	Incumbent
53-3011.00	Clean and wash rigs, ambulances, and equipment.	New	n/a		7	12/2005	Incumbent
53-3011.00	Perform minor maintenance on emergency medical services vehicles, such as ambulances.	New	n/a		6	12/2005	Incumbent
53-3021.00	Announce stops to passengers.	New	n/a		6	06/2010	Incumbent
53-3021.00	Read maps to plan bus routes.	New	n/a		6	06/2010	Incumbent
53-3022.00	Record bus routes.	New	n/a		7	07/2011	Incumbent
53-3022.00	Report delinquent student behaviors to school administration.	New	n/a		5	07/2011	Incumbent
53-3032.00	Perform basic vehicle maintenance tasks, such as adding oil, fuel, or radiator fluid, performing minor repairs, or washing trucks.	Revision	10653	Perform basic vehicle maintenance tasks, such as adding oil, fuel, or radiator fluid or performing minor repairs.	5	07/2014	Incumbent
53-4012.00	Operate locomotives under the instruction of engineers.	New	n/a		5	06/2009	Occupational Expert
53-4021.00	Conduct brake tests to determine the condition of brakes on trains.	New	n/a		6	06/2007	Incumbent
53-5011.00	Load or unload materials, vehicles or passengers from vessels.	Revision	14466	Load or unload materials from vessels.	5	06/2007	Incumbent
53-5021.01	Adjust navigation according to weather conditions.	New	n/a		7	06/2007	Incumbent
53-5021.01	Conduct safety drills with crew.	New	n/a		5	06/2007	Incumbent
53-5021.01	Dock and undock vessels, sometimes maneuvering through narrow spaces such as locks.	New	n/a		8	06/2007	Incumbent
53-6021.00	Call emergency responders or the proper authorities and provide motorist assistance, such as giving directions or helping jump start a stalled vehicle.	New	n/a		7	07/2004	Incumbent
53-6021.00	Explain and calculate parking charges, collect fees from customers, and respond to customer complaints.	Revision	3193	Calculate parking charges, and collect fees from customers.	10	07/2004	Incumbent
53-6021.00	Issue ticket stubs or place numbered tags on windshields, log tags or attach tag to customers' keys, and give customers matching tags for locating parked vehicles.	Revision	3194	Issue ticket stubs, or place numbered tags on windshields, and give customers matching tags for locating parked vehicles.	6	07/2004	Incumbent
53-6021.00	Perform cash handling tasks, such as making change, balancing and recording cash drawer, and distributing tips.	New	n/a		10	07/2004	Incumbent
53-6021.00	Perform personnel activities, such as supervising and scheduling employees.	New	n/a		11	07/2004	Incumbent
53-6021.00	Provide customer assistance and information, such as giving directions and handling wheelchairs.	New	n/a		20	07/2004	Incumbent
53-6051.08	Visually inspect cargo for damage upon arrival or discharge.	New	n/a		6	06/2008	Incumbent
53-6061.00	Secure passengers for transportation by buckling seatbelts or fastening wheelchairs with tie-down straps.	New	n/a		10	06/2007	Incumbent
53-7011.00	Observe packages moving along conveyors in order to identify packages, detect defective packaging and perform quality control.	Revision	10762	Observe packages moving along conveyors in order to identify packages and to detect defective packaging.	5	06/2006	Incumbent
53-7031.00	Perform maintenance on dredge equipment, such as changing engine oil.	New	n/a		6	06/2008	Incumbent
53-7062.00	Check freight, stock, or other materials for damage.	New	n/a		6	07/2013	Incumbent
53-7062.00	Take inventory of freight, stock, or other materials used on site.	New	n/a		5	07/2013	Incumbent
53-7064.00	Examine and inspect containers, materials, or products to ensure that product quality and packing specifications are met.	Revision	3213	Examine and inspect containers, materials, and products to ensure that packing specifications are met.	7	07/2011	Incumbent
53-7073.00	Change water filters.	New	n/a		5	12/2004	Incumbent
53-7073.00	Gauge oil and gas production.	New	n/a		14	12/2004	Incumbent
53-7073.00	Monitor pumps and flow lines for gas and fluid leaks.	New	n/a		7	12/2004	Incumbent
53-7111.00	Clean, fuel, service, and perform safety checks on all equipment, and repair and replace parts as necessary.	Revision	5028	Clean, fuel, and service equipment, and repair and replace parts as necessary.	16	12/2004	Incumbent
53-7111.00	Examine roadway and clear obstructions from the path of travel.	New	n/a		8	12/2004	Incumbent
53-7111.00	Handle high voltage sources and hang electrical cables.	New	n/a		8	12/2004	Incumbent
